#,Kingdom Name,Population,Best power clan name,Best kills clan name,Best power player name,Best kills player name
242,#648 Poysweil,3290,M1M n UyU,M1M n UyU,Bobmmm,Mannheimer68
243,#368 Bebregat,3277,Hunter 488,United S3x org,ThanLuckyZZZ,ImSo l KOT l
244,#485 Rowwood,3275,V m s,V m s,R E N N O,Crazy Jam
245,#303 Roesringen,3269,BUYUK  TURK  DEVLETi,BUYUK  TURK  DEVLETi,B E K i R,PrincessBuse
246,#624 Cassion,3260,The Fallen,The Fallen,XaolinDragon,RevPrayer
247,#579 Hallfeld,3253,Hc99,CAZADORES ELITE,Chenboz,Z E V S
248,#251 Shadel,3250,Orgasmic Jokerz,Vermin,Matzenator,Janek SLASK1
249,#413 Karthmere,3224,TurkishTown,TurkishTown,takezou1111,MSMA78
250,#83 Veustead,3213,Mic3,Mic3,CN MXX,AKU  MILIKMU
251,#8 Drayrien,3210,Financially Xposed,Financially Xposed,JP Ninja H2R,Italy Pao
252,#124 Xluxmery,3205,ycg,ycg,Huan Qi Yi 5,K P bl M
253,#300 Aevinem,3202,74D NIGHT DRAGONS,Skazka,ksa 01,NorthKorea
254,#13 Stratoheim,3189,Unified Heaven,Unified Heaven,Sironimus,v4 goat 777
255,#454 Madrillon,3185,Salty Red Roses,Salty Red Roses,Marshmellow1,ZippoMan
256,#582 Maaslare,3175,Chaos Karma,Chaos Karma,csc,CAO 13
257,#657 Woudhout,3171,Do Not Disturb,Do Not Disturb,Risen Shadow,Pepsi  best
258,#297 Oukrekya,3168,Great and Warriors,Great and Warriors,GOKU ULTIMA,GOKU ULTIMA
259,#184 Suizetor,3164,Memento AudereSemper,Farmers4life,Knedlicek,l D0NTcare
260,#497 Pontecete,3159,CCCP1,CCCP1,1RU OSA,alternakid
261,#289 Slocedia,3158,CH1,CH1,Tufei 713,LM E skg2222
262,#15 Mystleheim,3147,Deutsches Wolfsrudel,Invictus Germania,Great Knight,FlRE PHOENlX
263,#242 Wiwyth,3136,Wings of liberty,Wings of liberty,MrBenBen1,Accept Teo
264,#367 Afrasenza,3135,Viet Nam family1,Viet Nam family1,MIUMIUkun,BaBy Cay Cu
265,#195 Prainyth,3115,Hooligans of DL,mfm,LQ Xiaobao,xiaoxiaogege
266,#605 Kaiserneck,3112,A Guild of Heroes,Fckn Savages,Montylicious,SomTingWong9
267,#57 Crivaria,3110,Las Fierbinti,ZERO OVER,Villagersp,PredatorII
268,#299 Regunia,3095,Turkish Soldiers,Thailand is A Family,Ukkcbeard,MaKeDoNTURK
269,#261 Edainem,3094,ANB,ANB,CTS3 AMG ONE,Ne Box I Pox
270,#457 Cordonca,3093,HAREMEYN ALAMUT,HAREMEYN ALAMUT,N0  WY7777,Romperwarior
271,#693 Eberzach,3091,Fighter of Thailand,Covid19 and Friends,Miiix7,Miiix7
272,#597 Mailon,3083,Crush F Candies,Crush F Candies,SK Fish,1Fadi
273,#305 Dornling,3072,AJO no mercy,Cream of the Krop,Noah1205,Absolutpower
274,#424 Midlehal,3062,DZ WARRIORS,DZ WARRIORS,The Tiberius,Krane dz
275,#166 Gelezia,3058,AIN,0TM0R0ZGENNIE,xXAnjoNegroX,KW HopeKingJ
276,#578 Cudberg,3053,Meutes Diaboliques,Meutes Diaboliques,OoFlyManoO,No CryBaby
277,#653 Benscheid,3038,AA Monster Hunt,AA Monster Hunt,5end Nudes,5end Nudes
278,#343 Astroton,3038,bright,Shqiperi Etnike,Lup SYM,Salamote br8
279,#266 Thacaea,3023,TA Big Turtle,Ozel Kuvvetler,Simasen,AZOR A HAiMT
280,#661 Klosterbreck,3022,Financially Zeroed,Financially Zeroed,atomu,Annchaco
281,#79 Ieley,3022,All together forever,Distruttori,niuji8848,niuji8848
282,#348 Klinghofen,3015,LifeBlood1,KGB,SilentTree,ApM 9I HuH
283,#500 Kavaraia,3008,HOMEWORLD,Singapore Merlion,HZE 1234zy,Radamant666
284,#110 Sluxosa,3004,Hun Legion,Hun Legion,Attila,666 SATAN
285,#425 Rhonoa,2983,JPX,Polish Pro,FSBH,Mr N1
286,#591 Asfolpach,2980,AE16,Ukrainian family,QT Mizuka,Step0nNoPets
287,#647 Saalhofen,2967,charm,Born To Be Warriors,mossama,JDangerously
288,#19 Jumarand,2964,Destiny Joke,Immortal Otamans,HiroX,GH0sTDRaG0N
289,#194 Wexutor,2957,TR AKINCILAR,TR AKINCILAR,DeaconLoki,PelY
290,#35 Bakinu,2951,China Company,China Company,Aini7505,Cruzado UC
291,#226 Egrewyth,2948,Somsri 1992,Best to Best,ShowtekSVK,Kanshin 97
292,#406 Granmel,2943,SavagelyWiredRebels,SavagelyWiredRebels,Niroj 13,Azer iwnl
293,#49 Loxihart,2942,Friends Are Rare,Friends Are Rare,Joosep,Mr G11
294,#386 Montello,2937,KID GOLD VN,Christian Order,MontanaMike,Cu Pi
295,#33 Depulu,2934,Hungary k33,Hungary k33,0627yutaka,Dulifuli
296,#148 Baztonia,2928,TH3 M1SF1TS,TH3 M1SF1TS,Whipplecobra,BellaCiaoAl
297,#419 Lostela,2927,PR5 PRESSURE,Pycckue BouHbl,J U L I 3 T,J U L I 3 T
298,#349 Aurilles,2926,Piastowie,Piastowie,TheAndrew,xxHub
299,#555 Gremomble,2920,Arabian knights131,Arabian knights131,XD   XD,nagamoto ls
300,#122 Micgan,2918,Realize a dream,Pinoy Death Squad,mskng,Tony Yayo
301,#249 Tholum,2916,xLORDS WARRIORSx,xLORDS WARRIORSx,Gran Clyde,AB  2019
302,#306 Beaubonne,2916,TURK SANCAGI,TURK SANCAGI,DF XX,Pleno0
303,#606 Volkbirn,2908,LLOLL,Thanks all,Blitzkrieg7,chujo
304,#483 Lightdale,2908,Fantastic Squad,Fantastic Squad,DUN FY,Kali Jogo
305,#223 Nabrisha,2908,Lac Long Quan LLQ,Lac Long Quan LLQ,II Suzin8282,MR CAKHIA
306,#439 Doneraen,2906,Fuerza Guerrero UEP,Fuerza Guerrero UEP,Feuerteufel,FTU GOWTHAM
307,#459 Vrililargos,2904,DoanKet,DoanKet,IMeu KhiemI,QuocDanh1984
308,#496 Nanchun,2899,Gelion  Prime,Gelion  Prime,G444 bbq0083,jy no cash
309,#93 Klaptin,2897,KA0,KA0,Dat time,Jaffery
310,#602 Tilvorden,2886,k0D,k0D,UFOXXXUZ8888,cvzdfhgh
311,#470 Versile,2884,InQuiSiTions Sins,InQuiSiTions Sins,Mabu of Hok,SL Karma
312,#126 Bawaupland,2878,GreenRussianCats,arab unity HSH,QTR,QTR
